,address,coffeeshop_name,geometry,yelp_id
256,"555 5th Ave New York, NY 10017",Barnes & Noble Booksellers,POINT (-73.97874 40.7558),barnes-and-noble-booksellers-new-york-12
257,"6 W 14th St New York, NY 10011",Caffebene,POINT (-73.99436 40.73599),caffebene-new-york-5
258,"318 Graham Ave Brooklyn, NY 11211",Garden Grill,POINT (-73.943893 40.713508),garden-grill-brooklyn-3
259,"220 W 23rd St New York, NY 10011",Doughnut Plant,POINT (-73.9969177 40.7444916),doughnut-plant-new-york-2
260,"36-39 Prince St Flushing, NY 11354",Prince Tea House,POINT (-73.83264 40.76133),prince-tea-house-flushing-2
261,"1619 Amsterdam Ave New York, NY 10031",Cafe One,POINT (-73.949569 40.822166),cafe-one-new-york
262,"2430 3rd Ave Bronx, NY 10454",Filtered Coffee,POINT (-73.92997269999999 40.8086345),filtered-coffee-bronx
263,"4316 Broadway New York, NY 10033",Green Juice Cafe,POINT (-73.9346599 40.85189),green-juice-cafe-new-york
264,"55 Broad St New York, NY 10004",Starbucks,POINT (-74.011047 40.705276),starbucks-new-york-143
265,"4102 162nd St Flushing, NY 11358",White Noise Coffee Co,POINT (-73.8038631 40.7613),white-noise-coffee-co-flushing
266,"6 W 32nd St New York, NY 10001",Paris Baguette,POINT (-73.9863586425781 40.7472686767578),paris-baguette-new-york-2
267,"502 9th Ave New York, NY 10018",Buongiorno Espresso Bar,POINT (-73.9940699 40.75591),buongiorno-espresso-bar-new-york
268,"4 Union Square S New York, NY 10003",Whole Foods Market,POINT (-73.9913427829742 40.7348685454213),whole-foods-market-new-york-2
269,"270 Greenwich St New York, NY 10007",Whole Foods Market,POINT (-74.0114756574547 40.715593464232),whole-foods-market-new-york-8
270,"766 Grand St Brooklyn, NY 11211",Brooklyn Standard,POINT (-73.94255243115821 40.7118305173771),brooklyn-standard-brooklyn-3
271,"45-02 Queens Blvd Sunnyside, NY 11104",New York Style Eats,POINT (-73.9191202819347 40.7430137693882),new-york-style-eats-sunnyside-2
272,"2100 Frederick Douglass Blvd New York, NY 10026",Harlem Food Bar,POINT (-73.95635889747361 40.8027918218581),harlem-food-bar-new-york
273,"593 Meeker Ave Brooklyn, NY 11222",Sunset Diner,POINT (-73.9422 40.7216499),sunset-diner-brooklyn-2
274,"198 Bedford Ave Brooklyn, NY 11211",New York Muffins,POINT (-73.95826242864131 40.7174047082663),new-york-muffins-brooklyn
275,"177 New Dorp Ln New York, NY 10306",Piece A Cake,POINT (-74.1147970675453 40.5734755325581),piece-a-cake-new-york
276,"342 7th Ave New York, NY 10001",Pret A Manger,POINT (-73.993083 40.748102),pret-a-manger-new-york-53
277,"2286 Adam Clayton Powell Jr Blvd New York, NY 10030",ACP Coffee,POINT (-73.9443664550781 40.8149948120117),acp-coffee-new-york
278,"7419 3rd Ave Brooklyn, NY 11209",Starbucks,POINT (-74.027473 40.631507),starbucks-brooklyn-11
279,"30 Rockefeller Plz New York, NY 10112",Starbucks,POINT (-73.97957725885109 40.7591288593865),starbucks-new-york-273
280,"3570 Broadway New York, NY 10031",Hamilton's Bakery,POINT (-73.9494765934278 40.8273399113877),hamiltons-bakery-new-york
281,"2463 Broadway New York, NY 10025",Le Pain Quotidien,POINT (-73.97438 40.7918),le-pain-quotidien-new-york-127
282,"210-21 Northern Blvd Bayside, NY 11361",Bean Square,POINT (-73.77267329999999 40.7596206),bean-square-bayside
283,"1416 Cortelyou Rd Brooklyn, NY 11226",Catskill Bagels,POINT (-73.964645 40.640823),catskill-bagels-brooklyn-2
284,"3020 30th Ave Astoria, NY 11102",Tastee Corner,POINT (-73.9216863 40.76702),tastee-corner-astoria-2
285,"1378 Lexington Ave New York, NY 10128",Juliano Gourmet Coffee,POINT (-73.9534683 40.7826614),juliano-gourmet-coffee-new-york
286,"1901 Emmons Ave Brooklyn, NY 11235",Masal Cafe,POINT (-73.94914249999999 40.5839691),masal-cafe-brooklyn
287,"48 1/2 E 7th St New York, NY 10003",Van Leeuwen Artisan Ice Cream,POINT (-73.98768 40.7277),van-leeuwen-artisan-ice-cream-new-york-3
288,"161 W 72nd St New York, NY 10023",Aroma Espresso Bar,POINT (-73.9807052612305 40.7785377502441),aroma-espresso-bar-new-york-2
289,"1559 2nd Ave New York, NY 10075",Starbucks,POINT (-73.9544022 40.7746659),starbucks-new-york-507
290,"4961 Broadway New York, NY 10034",Darling Coffee,POINT (-73.92026300000001 40.8681059),darling-coffee-new-york
291,"315 5th Ave New York, NY 10016",Café M,POINT (-73.98497276193829 40.7468183262652),café-m-new-york-2
292,"39 W 32nd St New York, NY 10001",Caffebene,POINT (-73.9873123168945 40.7481575012207),caffebene-new-york-9
293,"931 Broadway New York, NY 10010",Le Pain Quotidien,POINT (-73.989672957878 40.7404025454991),le-pain-quotidien-new-york-142
294,"92-06 Rockaway Beach Blvd Rockaway Park, NY 11694",Rockaway Roasters,POINT (-73.8157276121466 40.5864823914456),rockaway-roasters-rockaway-park
295,"1280 Lexington Ave New York, NY 10028",Starbucks,POINT (-73.95554468035699 40.7796413451433),starbucks-new-york-226
296,"1547 Ralph Ave Brooklyn, NY 11236",Dunkin Donuts / Baskin Robins,POINT (-73.91930267214779 40.6391821056604),dunkin-donuts-baskin-robins-brooklyn
297,"118-24 Queens Blvd Kew Gardens, NY 11415",Starbucks,POINT (-73.83417900000001 40.712842),starbucks-kew-gardens-2
298,"86-51 Broadway Elmhurst, NY 11373",Starbucks,POINT (-73.8773106783628 40.7370685928095),starbucks-elmhurst-7
299,"479 Palisade Ave Jersey City, NJ 07307",Modcup Coffee,POINT (-74.04396 40.74504),modcup-coffee-jersey-city-2
300,"149-40 41st Ave Flushing, NY 11355",Caffeine Fix,POINT (-73.8143140971661 40.7623398003242),caffeine-fix-flushing
301,"10 Union Sq E New York, NY 10003",Starbucks,POINT (-73.9897620735439 40.7350976758759),starbucks-new-york-168
302,"1021 3rd Ave New York, NY 10021",Starbucks,POINT (-73.96579149999999 40.7623335),starbucks-new-york-193
303,"370 7th Ave New York, NY 10001",Starbucks,POINT (-73.992553 40.748912),starbucks-new-york-335
304,"600 W 218th St New York, NY 10034",Indian Road Cafe,POINT (-73.918440820966 40.872915157013),indian-road-cafe-new-york
305,"47-11 Francis Lewis Blvd Bayside, NY 11361",BKNY Thai Restaurant,POINT (-73.78007400938399 40.7530184239866),bkny-thai-restaurant-bayside
306,"360 W 31st St New York, NY 10001",Dunkin' Donuts,POINT (-73.9975599 40.75129),dunkin-donuts-new-york-128
307,"1372 Broadway New York, NY 10018",Starbucks,POINT (-73.986915 40.752285),starbucks-new-york-246
308,"234 W 238th St Bronx, NY 10463",Mon Amour Coffee & Wine,POINT (-73.9001434 40.8847906),mon-amour-coffee-and-wine-bronx
309,"Empire State Bldg 350 5th Ave Manhattan, NY 10018",Starbucks,POINT (-73.98474520000001 40.7484567),starbucks-manhattan-63
310,"922 7th Ave New York, NY 10019",Le Pain Quotidien - Columbus Circle,POINT (-73.9797212 40.7664066),le-pain-quotidien-columbus-circle-new-york-3
311,"1320 Ave of the Americas New York, NY 10019",Starbucks,POINT (-73.97880069999999 40.7617972),starbucks-new-york-159
